Fecha,L_S,L_S_lag,L_S_fwd,RS_diff,Infl_diff,CDS 5 YEAR
2009Q1,14.38606667,13.056,13.31353333,7.446229508,0.009999999999999998,398.6
2009Q2,13.31353333,14.38606667,13.26486667,5.479516129,0.009999999999999998,239.983333333333
2009Q3,13.26486667,13.31353333,13.06606667,4.392307692,0.009999999999999998,165.856666666667
2009Q4,13.06606667,13.26486667,12.77266667,4.441746032,0.009999999999999998,151.473333333333
2010Q1,12.77266667,13.06606667,12.5641,4.4640983610000005,0.009999999999999998,131.056666666667
2010Q2,12.5641,12.77266667,12.79603333,4.405238095,0.009999999999999998,128.843333333333
2010Q3,12.79603333,12.5641,12.38833333,4.39984375,0.009999999999999998,126.736666666667
2010Q4,12.38833333,12.79603333,12.0651,4.3735937499999995,0.009999999999999998,114.89
2011Q1,12.0651,12.38833333,11.7259,4.358387097,0.009999999999999998,113.203333333333
2011Q2,11.7259,12.0651,12.31633333,4.397142857,0.009999999999999998,103.32
2011Q3,12.31633333,11.7259,13.6344,4.347230769,0.009999999999999998,150.403333333333
2011Q4,13.6344,12.31633333,12.98586667,4.3558064519999995,0.009999999999999998,150.243333333333
2012Q1,12.98586667,13.6344,13.55076667,4.390952381,0.009999999999999998,130.993333333333
2012Q2,13.55076667,12.98586667,13.16333333,4.344354838999999,0.009999999999999998,139.076666666667
2012Q3,13.16333333,13.55076667,12.94536667,4.350769231,0.009999999999999998,108.946666666667
2012Q4,12.94536667,13.16333333,12.64886667,4.343709677,0.009999999999999998,99.71
2013Q1,12.64886667,12.94536667,12.49203333,4.248305085,0.009999999999999998,100.986666666667
2013Q2,12.49203333,12.64886667,12.91986667,3.89828125,0.009999999999999998,103.82
2013Q3,12.91986667,12.49203333,13.0288,3.868769231,0.009999999999999998,124.49
2013Q4,13.0288,12.91986667,13.23296667,3.5526984130000003,0.009999999999999998,101.18
2014Q1,13.23296667,13.0288,12.9971,3.4411475410000003,0.009999999999999998,95.9266666666667
2014Q2,12.9971,13.23296667,13.12206667,3.311290323,0.009999999999999998,74.24
2014Q3,13.12206667,12.9971,13.87026667,2.9401538460000003,0.009999999999999998,81.13
2014Q4,13.87026667,13.12206667,14.9474,2.956825397,0.009999999999999998,87.8
2015Q1,14.9474,13.87026667,15.32456667,2.946885246,0.009999999999999998,113.483333333333
2015Q2,15.32456667,14.9474,16.44473333,2.93516129,0.009999999999999998,122.21
2015Q3,16.44473333,15.32456667,16.75543333,2.942307692,0.009999999999999998,151.683333333333
2015Q4,16.75543333,16.44473333,18.06496667,2.962222222,0.009999999999999998,157.676666666667
2016Q1,18.06496667,16.75543333,18.0983,3.159333333,0.009999999999999998,183.223333333333
2016Q2,18.0983,18.06496667,18.75623333,3.431846154,0.009999999999999998,162.203333333333
2016Q3,18.75623333,18.0983,19.84383333,3.8941538460000005,0.009999999999999998,150.346666666667
2016Q4,19.84383333,18.75623333,20.3256,4.663387097,0.009999999999999998,162.063333333333
2017Q1,20.3256,19.84383333,18.5586,5.36984127,0.009999999999999998,145.046666666667
2017Q2,18.5586,20.3256,17.82366667,5.745,0.009999999999999998,116.736666666667
2017Q3,17.82366667,18.5586,18.97103333,5.898615384999999,0.009999999999999998,104.326666666667
2017Q4,18.97103333,17.82366667,18.7277,5.892131148,0.009999999999999998,104.66
2018Q1,18.7277,18.97103333,19.42713333,5.991666667,0.009999999999999998,103.823333333333
2018Q2,19.42713333,18.7277,18.9608,5.846406249999999,0.009999999999999998,129.14
2018Q3,18.9608,19.42713333,19.85276667,5.884307692,0.009999999999999998,114.71
2018Q4,19.85276667,18.9608,19.2059,5.744516128999999,0.009999999999999998,148.816666666667
2019Q1,19.2059,19.85276667,19.12686667,5.8588524589999995,0.009999999999999998,126.056666666667
2019Q2,19.12686667,19.2059,19.44163333,5.876451613,0.009999999999999998,117.793333333333
2019Q3,19.44163333,19.12686667,19.2546,5.985692308000001,0.009999999999999998,114.036666666667
2019Q4,19.2546,19.44163333,20.0089,6.032222222000001,0.009999999999999998,87.6166666666667
2020Q1,20.0089,19.2546,23.32926667,5.832903226,0.009999999999999998,142.6
2020Q2,23.32926667,20.0089,22.09716667,5.8079032260000005,0.009999999999999998,192.936666666667
2020Q3,22.09716667,23.32926667,20.53916667,4.653846154,0.009999999999999998,136.413333333333
2020Q4,20.53916667,22.09716667,20.3289,4.18047619,0.009999999999999998,99.1
2021Q1,20.3289,20.53916667,20.00283333,4.060819672,0.009999999999999998,105.416666666667
2021Q2,20.00283333,20.3289,20.03163333,3.961746032,0.009999999999999998,93.96
2021Q3,20.03163333,20.00283333,20.7516,4.330307692,0.009999999999999998,94.6666666666667
2021Q4,20.7516,20.03163333,20.50116667,4.90078125,0.009999999999999998,104.193333333333
2022Q1,20.50116667,20.7516,20.05433333,5.683064516,0.009999999999999998,106.133333333333
2022Q2,20.05433333,20.50116667,20.24753333,6.068730158999999,0.009999999999999998,147.006666666667
2022Q3,20.24753333,20.05433333,19.67413333,5.986000000000001,0.009999999999999998,171.303333333333
2022Q4,19.67413333,20.24753333,18.65326667,6.112258064999999,0.009999999999999998,139.36
2023Q1,18.65326667,19.67413333,17.688,6.270317460000001,0.009999999999999998,117.913333333333
2023Q2,17.688,18.65326667,17.06306667,6.27870968,0.009999999999999998,109.756666666667
2023Q3,17.06306667,17.688,17.54833333,5.98630769,0.009999999999999998,109.493333333333
2023Q4,17.54833333,17.06306667,16.98963333,5.930655740000001,0.009999999999999998,102.946666666667
2024Q1,16.98963333,17.54833333,17.2738,5.907833330000001,0.009999999999999998,88.79
